"Toxicant Class","Toxicant","Population-wide LOAEL","CB4856","ECA248","ECA36","ECA396","MY16","PD1074","RC301","XZ1516"
"Flame_Retardant","Triphenyl phosphate",1.56,100,100,100,100,1.56,100,1.56,100
"Fungicide","Pyraclostrobin",11.72,11.72,1500,11.72,11.72,11.72,11.72,1500,11.72
"Fungicide","Carboxin",1183.43,1183.43,1183.43,1183.43,1183.43,1183.43,1183.43,1183.43,1183.43
"Fungicide","Chlorothalonil",111.11,111.11,166.67,111.11,111.11,166.67,111.11,111.11,111.11
"Fungicide","Mancozeb",102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4,102.4
"Herbicide","Paraquat",1000,1000,1000,1000,1000,1000,1000,1000,1000
"Herbicide","Atrazine",1000,1000,1000,1000,1000,1000,1000,1000,1000
"Herbicide","2,4-D",1000,1000,1000,1000,1000,1000,1000,1000,1000
"Insecticide","Aldicarb",1250,1250,1250,1250,1250,1250,1250,1250,1250
"Insecticide","Chlorfenapyr",0.31,0.31,0.16,0.63,0.63,0.31,0.31,0.31,0.31
"Insecticide","Methomyl",100,100,100,100,100,100,100,100,100
"Insecticide","Carbaryl",107.37,209.72,209.72,167.77,167.77,107.37,209.72,167.77,167.77
"Insecticide","Chlorpyrifos",0.69,0.69,1.36,1.36,0.69,0.69,0.69,0.69,10.2
"Insecticide","Malathion",104.05,1185.19,104.05,1185.19,104.05,1185.19,104.05,104.05,1185.19
"Insecticide","Propoxur",1481.48,1481.48,1481.48,1481.48,1481.48,1481.48,1481.48,1481.48,1481.48
"Metal","Cadmium chloride",100,100,100,100,100,100,100,100,100
"Metal","Copper(II) chloride",100,100,100,100,100,100,100,100,100
"Metal","Methylmercury chloride",0.98,1.95,1.95,1.95,1.95,1.95,1.95,15.63,15.63
"Metal","Silver nitrate",0.49,0.98,125,125,0.98,0.98,1.95,1.95,125
"Metal","Nickel chloride",100,100,100,100,100,100,100,100,200
"Metal","Zinc chloride",100,100,100,100,100,100,100,100,100
"Metal","Arsenic trioxide",201.88,201.88,201.88,201.88,201.88,201.88,201.88,201.88,201.88
"Metal","Lead(II) nitrate",1000,1000,1000,1000,1000,1000,1000,1000,1000
